name,ingredients,diet,prep_time,cook_time,flavour,dish_type,state,region
tunday kebab,"minced meat, ginger, garlic, chili, spices",non vegetarian,40,85,spicy,starter,uttar pradesh,north
nihari,"mutton, onion, ginger, garlic, slow spices",non vegetarian,45,100,spicy,main course,uttar pradesh,north
chicken korma,"chicken, yogurt, onion, cashew, masala",non vegetarian,40,90,spicy,main course,uttar pradesh,north
mutton korma,"mutton, yogurt, onion, tomato, spices",non vegetarian,45,95,spicy,main course,uttar pradesh,north
biryani,"chicken, rice, onion, tomato, curd, masala",non vegetarian,40,90,spicy,main course,uttar pradesh,north
mutton curry,"mutton, onion, tomato, garlic, ginger, masala",non vegetarian,45,95,spicy,main course,uttar pradesh,north
egg curry,"egg, onion, tomato, chili, garlic, oil",non vegetarian,30,70,spicy,main course,uttar pradesh,north
fish curry,"fish, coconut, tamarind, chili, mustard seeds",non vegetarian,35,80,spicy,main course,uttar pradesh,north
chicken roast,"chicken, chili, ginger, garlic, masala",non vegetarian,40,85,spicy,starter,uttar pradesh,north
seekh kebab,"minced mutton, onion, chili, garlic, oil",non vegetarian,35,80,spicy,starter,uttar pradesh,north
